Rank,Traditional,Simplified,Pinyin,Meaning
1,一,一,yī,det.: one
2,在,在,zài,"in, at, on, etc."
3,有,有,yǒu,"have, possess"
4,個,个,ge,"piece, item"
5,我,我,wǒ,"I, me, ego, self"
6,不,不,bù,"non, do not, no, nowise, not, nope, nae, no more, nix"
7,這,这,zhè,"now, this, det.: this, it"
8,了,了,le,entirely
9,他,他,tā,"he, she, it, they (referring to inanimate things in object position)"
10,也,也,yě,"also, too, as well, either, even"
11,就,就,jiù,"then, at once, right away, an indicator strengthening speaker's evaluation"
12,人,人,rén,"person, people"
13,都,都,dōu,"all, even, already"
14,說,说,shuō,"speak, talk, explain, scold"
15,而,而,ér,conj.: and yet
16,我們,我们,wǒmen,we
17,你,你,nǐ,you
18,了,了,le,particle: indicating new situation; indicating completed action
19,要,要,yào,"want, need, must, should"
20,會,会,huì,"to be able, can, will, to meet"
21,對,对,duì,"correct, true, toward"
22,及,及,jí,"to reach, to catch up, and"
23,和,和,hé,"and, with, gentle, peaceful"
24,與,与,yǔ,"and, together with, to give"
25,以,以,yǐ,"using, taking, from a point on, because of"
26,很,很,hěn,"pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly"
27,種,种,zhǒng,m.[kind]
28,的,的,de,particle: emphasizing an action/situation
29,大,大,dà,"great, macro, old, very, vast, tall, big, high, much"
30,能,能,néng,can or to be capable of
31,著,着,zhe,[aspect]
32,她,她,tā,"she, her, she (neologism for {1ta1}[2]), )"
33,那,那,nà,det.: that
34,上,上,shàng,"on, above"
35,但,但,dàn,"conj.: but, yet, still, nevertheless, only, merely"
36,年,年,nián,year
37,還,还,hái,"still, yet, also, too, as well, besides"
38,可以,可以,kěyǐ,"can, may"
39,最,最,zuì,"most, to the highest degree, much, superlatively"
40,自己,自己,zìjǐ,"lonesome, number_one, own, ego, self, oneself, name"
41,為,为,wéi,by
42,來,来,lái,to
43,所,所,suǒ,that which
44,他們,他们,tāmen,they
45,兩,两,liǎng,"det.: two, both (sides), either (side), a few, some"
46,各,各,gè,"det.: each, every"
47,可,可,kě,"can, may"
48,為,为,wéi,"be, become"
49,或,或,huò,"conj.: or, either or"
50,好,好,hǎo,good
51,等,等,děng,"conj.: and so on, etc"
52,又,又,yòu,"again, moreover"
53,將,将,jiāng,be about to
54,因為,因为,yīnwèi,"conj.: because, for, on account of"
55,於,于,yū,"in, at, to, from, out of, by"
56,由,由,yóu,"from, via, by, through, owing/due to"
57,從,从,cóng,"from, since, through"
58,更,更,gèng,"more, still/even more, further, furthermore"
59,被,被,bèi,by
60,才,才,cái,"then and only then, just now, only (before a number)"
61,已,已,yǐ,already
62,者,者,zhě,"nominal suffix, one who, -er"
63,每,每,měi,det.: every
64,次,次,cì,"order, sequence, next"
65,把,把,bǎ,indicating pre-verbal object as thing dealt with by the action
66,三,三,sān,det.: three
67,什麼,什么,shéme,"anything, what"
68,問題,问题,wèntí,"problem, mishap, query, job, interface, question, inquiry, matter, enquiry, trouble, issue, worry, subject, topic, hang-up, business, quaere"
69,其,其,qí,"det.: its, his, her, their, it, this, that"
70,讓,让,ràng,"allow, induce sb. to do sth."
71,此,此,cǐ,"this, det.: this, here"
72,做,做,zuò,"make, do"
73,再,再,zài,"again, once more, further(more), in a higher degree, and then, not (do sth.) before"
74,所以,所以,suǒyǐ,"conj.: so, therefore, as a result"
75,只,只,zhǐ,"only, merely"
76,與,与,yǔ,"with, to"
77,則,则,zé,"then, in that case"
78,台灣,台湾,táiwān,Taiwan
79,卻,却,què,"however, but, yet, indeed"
80,並,并,bìng,"to be side by side, simultaneously, and"
81,位,位,wèi,"location, digit, m.[general], , status, figure, throne, position, place, condition"
82,想,想,xiǎng,"think, suppose, reckon, consider, want to, would like to, feel like (doing sth.)"
83,去,去,qù,"to go, to leave, in order to"
84,呢,呢,ne,particle: marking quesitons about subject already mentioned; indicating strong affirmation
85,學生,学生,xuéshēng,"academic, pupil, pup, tutee, follower, scholar, schoolchild, schoolboy, alumnus, disciple, learner, scholastic, student"
86,表示,表示,biǎoshì,"demonstrate, exhibit, prove, show, extend, manifest, express, stamp, signify, mark, witness, look, give, denote, evince, expression, bespeak, say, profess, mean, offer, utter, infer, indicate, represent, read, speak, refer, give tongue to, intend, be, shew, pay, stand_for, establish, stand for, present, render, betoken"
87,到,到,dào,up until
88,公司,公司,gōngsī,"place of business, business organization, incorporation, establishment, business concern, office, concern, business establishment, business, enterprise, company, corporation"
89,將,将,jiāng,introducing object of main verb
90,如果,如果,rúguǒ,conj.: if
91,社會,社会,shèhuì,"community, society, monde, social, public"
92,看,看,kàn,"see, look at, watch, read, look upon, regard, look after, call on, visit"
93,小,小,xiǎo,"small, little, petty, minor;young"
94,天,天,tiān,m.[standard]
95,因此,因此,yīncǐ,"conj.: therefore, consequently"
96,新,新,xīn,"new, fresh, up-to-date"
97,但是,但是,dànshì,"conj.: but, however, yet, still"
98,它,它,tā,"they (neologism for {1ta1}[3] [4]), [4]), ), this, that, it"
99,中,中,zhōng,"center, middle, interior"
100,使,使,shǐ,"rarefy, piss_off, germinate, drench, blow_out, leave, cut_up, refract, run, dress_up, compose, shed, frizz, put_off, trot, send, strike, send (as envoy), peal, alienate, pull_in, tone_up, bring around, astound, sublease, wither, cripple, bed_down, address, rehearse, usage, warm, smell_out, throw, inflect, get_down, skunk, capsize, congeal, bowl_over, bring_on, unseat, ensure, amalgamate, pro"
101,工作,工作,gōngzuò,"work, job"
102,全,全,quán,"det.: all, Surname, whole, Quan"
103,覺得,觉得,juéde,"imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive"
104,使用,使用,shǐyòng,"use, employ, apply"
105,這些,这些,zhèxiē,det.: these
106,裡,里,lǐ,inside
107,並,并,bìng,"actually, truly"
108,由於,由于,yóuyū,conj.: owing/due/thanks to
109,時候,时候,shíhòu,"day, moment, (a point in) time, (duration of) time, time"
110,知道,知道,zhīdào,"tell, have, ken, understand, infer, wis, learn, cognize, gather, know, be aware of, wise up, savvy, mind, realize"
111,這樣,这样,zhèyàng,"so, such, like this, this way"
112,一,一,yī,as soon as
113,認為,认为,rènwéi,"find, treat, deem, suppose, look_on, repute, discount, esteem, accredit, feel, account, calculate, estimate, take to be, reckon, expect, think, hold, trust, recognise, opine, sound off, adjudge, consideration, consider, regard as, look upon, believe_in, disbelieve, allow, conceive, regard, call, imagine, view, forecast, believe, suspect, rate, animadvert, look on, listen, speak up, figure, c"
114,時間,时间,shíjiān,"moment, day, clock time, fourth_dimension, relativity, hour, duration, time, when, while, temporal, economy"
115,事,事,shì,"responsibility, trouble, event, thing, worry, accident, case, involvement, work, affair, job, concern, business, toast, matter"
116,過,过,guò,[aspect]
117,向,向,xiàng,"to, towards"
118,可能,可能,kěnéng,"probably, maybe"
119,中國,中国,zhōngguó,"Cathay, China, china"
120,美國,美国,měiguó,"House_of_Representatives, the United States of America, US, U.S.A., bench, Columbia, Yankeeland, U.S., United States, Democrat, Yankeedom, USA, America, United States of America"
121,到,到,dào,"arrive, reach, go to"
122,和,和,hé,together) with
123,幾,几,jǐ,"det.: how many, a few, several, some"
124,系統,系统,xìtǒng,"lineage, filiation, scheme, pedigree, system, formation, superstructure, programme, organization, succession, tract, system of rules, organisation, program"
125,政府,政府,zhèngfǔ,"sirkar, state, country, nation, governmental, body politic, government, administration, civil order, polity, commonwealth, regime, res publica, land"
126,大家,大家,dàjiā,"sundry, great master, rich and influential family, pontiff, all of us, everyone, authority, master, distinguished family"
127,國家,国家,guójiā,"sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica"
